"Name","Value","Comment"
"B_Pag2Cols.ToolTipService.ToolTip","2 oszlopos elrendezés","Paginated 2 columns"
"B_PagVertical.ToolTipService.ToolTip","Függőleges görgetés","Vertical scroll"
"B_PreviousLine.ToolTipService.ToolTip","Előző sor (Ctrl + ←)","Previous Line (Ctrl + ←)"
"B_PrivacyPolicy.ToolTipService.ToolTip","Adatvédelmi tájékoztató","Privacy policy"
"B_RateStore.ToolTipService.ToolTip","Értékelés az Áruházban","Rate on store"
"B_ReadAloud.ToolTipService.ToolTip","Felolvasás (Ctrl + R)","Read Aloud (Ctrl + R)"
"B_ReadAloud1.ToolTipService.ToolTip","Felolvasás","ReadAloud"
"B_ReadAloudSettings.ToolTipService.ToolTip","Felolvasás beállításai","ReadAloud settings"
"B_Refresh.ToolTipService.ToolTip","Frissítés","Refresh"
"B_Remove.ToolTipService.ToolTip","Eltávolítás","Remove"
"B_Reset.ToolTipService.ToolTip","Visszaállítás","Reset"
"B_RmSyncFolderBtn1.Content","Igen, de a könyveket őrizze meg","Yes, but keep books"
"B_RmSyncFolderBtn2.Content","Igen, és távolítsa el a könyveket","Yes, and remove books"
"B_Save.Content","Mentés","Save"
"B_Search.ToolTipService.ToolTip","Keresés","Search"
"B_Search1.ToolTipService.ToolTip","Keresés (Ctrl + F)","Search (Ctrl + F)"
"B_SearchWeb.ToolTipService.ToolTip","Keresés a weben","Search web"
"B_SelectFolder.ToolTipService.ToolTip","Mappa kiválasztása","Select folder"
"B_SelectIcon.Content","Ikon kiválasztása","Select icon"
"B_ShowCB.ToolTipService.ToolTip","Parancssor mutatása","Show command bar"
"B_Sort.ToolTipService.ToolTip","Rendezés","Sort"
"B_Sync_Edit.ToolTipService.ToolTip","Szerkesztés","Edit"
"B_TextFormat.ToolTipService.ToolTip","Szöveg formázása","Text Format"
"B_TextStyle.ToolTipService.ToolTip","Stílus","Text Style"
"B_Theme1.Content","Fehér","White"
"B_Theme1.ToolTipService.ToolTip","Fehér (Ctrl + T + 1)","White (Ctrl + T + 1)"
"B_Theme2.Content","Ezüst","Silver"
"B_Theme2.ToolTipService.ToolTip","Ezüst (Ctrl + T + 2)","Silver (Ctrl + T + 2)"
"B_Theme3.Content","Szépia","Sepia"
"B_Theme3.ToolTipService.ToolTip","Szépia (Ctrl + T + 3)","Sepia (Ctrl + T + 3)"
"B_Theme4.Content","Éjszakai","Night"
"B_Theme4.ToolTipService.ToolTip","Éjszakai (Ctrl + T + 4)","Night (Ctrl + T + 4)"
"B_Theme5.Content","Szolarizált","Solarized"
"B_Theme5.ToolTipService.ToolTip","Szolarizált (Ctrl + T + 5)","Solarized (Ctrl + T + 5)"
"B_Theme6.Content","Egyéni","Custom"
"B_TOC.ToolTipService.ToolTip","Tartalomjegyzék","Table Of Contents"
"B_ToggleFav.ToolTipService.ToolTip","Kedvencek megjelenítése","Toggle Favorite"
"B_ToggleFullscreen.ToolTipService.ToolTip","Váltás teljes képernyőre (F11)","Toggle Fullscreen (F11)"
"B_Translate.ToolTipService.ToolTip","Fordítás","Translate"
"B_Tw.ToolTipService.ToolTip","Követés a Twitteren","Follow us on Twitter"
"B_ZoomIn.ToolTipService.ToolTip","Nagyítás","Zoom In"
"B_ZoomOut.ToolTipService.ToolTip","Kicsinyítés","Zoom Out"
"C_AddFolder_AddRecent.Content","Könyv hozzáadása a legutóbb megnyitottak listájához","Add books to recent list"
"C_AddFolder_AutoRemove.Content","Könyvek automatikus eltávolítása a könyvtárból (beleértve a jegyzeteket, kiemeléseket stb…) amikor a fájlok törlésre kerülnek a mappából","Automatically remove books from the library (including notes, highlights, etc) when files are deleted from the folder"
"C_AddFolder_RecSearch.Content","Ismétlődő keresés az almappákban","Recursively search sub-folders"
"C_AddFolder_SyncFolder.Content","Mappa automatikus szinkronizálása, új könyvek hozzáadása","Sync this folder and automatically add new books"
"C_Backup_AStats.Content","Statisztika","App statistics"
"C_Backup_BFav.Content","Kedvenc könyvek","Book favorite list"
"C_Backup_BFiles.Content","Könyvfájlok","Book files"
"C_Backup_BMeta.Content","Könyvadatlap","Book metadata"
"C_Backup_Bookmarks.Content","Könyvjelzők","Bookmarks"
"C_Backup_Config.Description","A biztonsági mentés és helyreállítás konfigurációjának kiválasztása","Select the configuration for backup or restore operation"
"C_Backup_Config.Title","Konfiguráció kiválasztása","Choose configuration"
"C_Backup_NandH.Content","Jegyzetek és kiemelések","Notes & highlights"
"C_Backup_Operation.Description","Válassza ki a végrehajtandó műveletet","Select the operation you want to perform"
"C_Backup_Operation.Title","Művelet kiválasztása","Choose operation"
"C_Backup_Storage.Description","Válassza ki a művelet forrás – vagy célhelyét","Select the source or target storage for the operation"
"C_Backup_Storage.Title","Hely választása","Choose storage"
"C_Books.ToolTipService.ToolTip","Könyvek","Books"
"C_ChapterList.ToolTipService.ToolTip","Fejezetlista","Chapter list"
"C_CollectionType.ToolTipService.ToolTip","Gyűjtemény típusa","Collection Type"
"C_General_Advt.Description","Preferált hirdetések kiválasztása","Preference for type of advertisements"
"C_General_Advt.Title","Hirdetésbeállítások","Advt. preference"
"C_General_BookTitle.Description","Az összes könyv címének megjelenítése könyvtárnézetben","Display title for all books in the library view"
"C_General_BookTitle.Title","Könyvcímek mutatása","Show book titles"
"C_General_Lang.Description","A gombok, menük és egyéb vezérlők ezen a nyelven jelennek majd meg
Ez a beállítás az alkalmazás legközelebbi elindításakor lép érvénybe.","Buttons, menus and other controls will show in this language.
This setting will be applied on the next start of the app."
"C_General_Lang.Title","Alkalmazás nyelve","Display language"
"C_General_Tutorial.Description","Az összes kezelési bemutató ismételt megjelenítése","Show all the tutorials again"
"C_General_Tutorial.Title","Bemutatók visszaállítása","Reset tutorials"
"C_Personal_ColorThemes.Title","Témabeállítások","Color themes"
"C_Personal_TransBanckground.Title","Átlátszó háttér","Transparent background"
"C_Personal_TransBanckSlider.Title","A háttér átlátszóságának mértéke","Background transparency"
"C_Prem1.BillDetails","Negyedévenkénti számlázás","Billed quarterly"
"C_Prem1.DurationString","Hónapok"," months"
"C_Prem2.BillDetails","Éves számlázás","Billed annually"
"C_Prem2.DurationString","Hónapok"," months"
"C_Prem3.BillDetails","Egyszeri vásárlás","One time purchase"
"C_Prem3.DurationString","Megvásárlás örökre","Lifetime"
"C_Reader_AutoLayout.Description","2 oszlopos megjelenítésnél, az eszköz 90°-os elfordulása esetén a program automatikusan 1 oszlopos megjelenítésre vált (és vissza)","In 2-column layout when device rotates to portrait mode, reader will auto switch to 1-column layout, and vice versa"
"C_Reader_AutoLayout.Title","Automatikusan 1 oszlopos megjelenítésre váltás","Auto switch to 1 column layout"
"C_Reader_AutoScroll.Description","Automatikusan az éppen felolvasott mondathoz görget a Felolvasás üzemmódban","Auto scrolls the page to follow the sentence being read in the ReadAloud mode"
"C_Reader_AutoScroll.Title","Felolvasáskor automatikus görgetés","ReadAloud auto-scroll"
"C_Reader_BookFont.Description","A program a könyv eredeti betűtípusát használja","Reader uses the original fonts packaged with the book"
"C_Reader_BookFont.Title","Könyv saját betűtípusának használata","Use book's fonts"
"C_Reader_DictLang.Description","Az olvasóba épített szótár nyelve","Language of the in-reader dictionary"
"C_Reader_DictLang.Title","Szótár nyelve","Dictionary language"
"C_Reader_EnhRender.Description","A könyv eredeti kinézetének és elrendezésének feljavítása","Improves the format/layout in which books are rendered for reading"
"C_Reader_EnhRender.Title","Fokozott renderelés","Enhanced rendering"
"C_Reader_SearchEngine.Description","Az internetes kereséshez használt keresőmotor","Search engine to use for web search"
"C_Reader_SearchEngine.Title","Keresőmotor","Search engine"
"C_Reader_StdMrgn.Description","A könyvben meghatározott összes margó felülírása az egységes elrendezés biztosításáért","Overrides any margin specified in the book to provide consistent layout in the reader"
"C_Reader_StdMrgn.Title","Margók egységesítése","Standardize margins"
"C_Reader_TextAlign.Description","A könyvben meghatározott összes szövegelrendezési beállítás felülírása az egységes elrendezés biztosításáért","Overrides any text alignment preference set in the book to provide consistent layout in the reader"
"C_Reader_TextAlign.Title","Szövegelrendezés felülírása","Override text alignment"
"C_ShowFavs.Content","Mutassa csak a kedvenceket","Show only favorites"
"CB_Category.ToolTipService.ToolTip","Kategóriák","Categories"
"EBI_Author.Text","Szerző(k) : ","Author(s) : "
"EBI_Cover1.Content","Borító kiválasztása","Select cover"
"EBI_Cover2.ToolTipService.ToolTip","Az eredeti borító visszaállítása","Restore original cover"
"EBI_Description.Text","Leírás: ","Description : "
"EBI_ErrMsg1","A sorozatszám nem lehet üres","Series number cannot be empty"
"EBI_ErrMsg2","A sorozatszám érvénytelen","Series number not valid"
"EBI_Genre.Text","Műfaj(ok) : ","Genre(s) : "
"EBI_Language.Text","Nyelv(ek):","Language(s) : "
"EBI_Msg1.Text","• (k) – Pontosvesszővel ( ; ) több bejegyzést elválaszthat."," • (s) - Use semi-colon ( ; ) to separate multiple entries."
"EBI_Publisher.Text","Kiadó(k) : ","Publisher(s) : "
"EBI_Series.Text","Sorozat: ","Series : "
"EBI_SeriesNumber.Text","Sorozatszám:","Series Number : "
"EBI_Title.Text","Könyvadatok szerkesztése","Edit book information"
"IAP_Discount.Text","20% kedvezmény","20% off"
"IAP_Popular.Text","Legnépszerűbb","Most Popular"
"M_About.Content","Rólunk","About us"
"M_AddBook.Text","Könyvfájl(ok) hozzáadása","Add book file(s)"
"M_AddFavourite.Text","Hozzáadás a Kedvencekhez","Add Favourite"
"M_AddFolder.Text","Mappa hozzáadása","Add folder"
"M_Backup.Content","Biztonsági mentés és helyreállítás","Backup & Restore"
"M_BookInfo.Text","Könyvinformáció","Book Info"
"M_ChngLog.Content","Változások","Change log"
"M_CreationTime.Text","Létrehozva","Creation time"
"M_Edit.Text","Szerkesztés","Edit"
"M_EditBookInfo.Text","Könyvinformáció szerkesztése","Edit Book Info"
"M_General.Content","Általános","General"
"M_OpenBook.Text","Könyv megnyitása","Open Book"
"M_Personal.Content","Személyre szabás","Personalization"
"M_PinUnpin.Text","Kitűzés a Start menüre / Levétel a Start menüről","Pin/Unpin to Start"
"M_PosInBook.Text","Pozíció","Position in book"
"M_Reader.Content","Olvasó","Reader"
"M_Remove.Text","Eltávolítás","Remove"
"M_RemoveFavourite.Text","Eltávolítás a Kedvencekből","Remove Favourite"
"M_SaveToFile.Text","Mentés fájlba","Save to file"
"M_Share.Text","Megosztás","Share"
"M_SyncFolder.Content","Mappák szinkronizálása","Sync folders"
"N_Collections.Content","Gyűjtemények","Collections"
"N_Feedback.Content","Visszajelzés","Feedback"
"N_Home.Content","Kezdőlap","Home"
"N_Library.Content","Könyvtár","Library"
"N_OnlineBooks.Content","Online könyvek","Online Books"
"N_Premium.Content","Prémium","Premium"
"N_ReportBug.Content","Hibabejelentés","Report bug"
"N_Settings.Content","Beállítások","Settings"
"N_Statistics.Content","Statisztika","Statistics"
"RI_No","Nem","No"
"RI_Title.Text","Szereti használni ezt a programot?","Are you enjoying Aquile Reader?"
"RI_Title2","Szánna rá egy pillanatot, hogy értékeljen bennünket az Áruházban?","Would you spare a moment to rate us on the store?"
"RI_Title3","Lenne valamilyen észrevétele, amelyet megosztana velünk?","Would you like to share some feedback with us?"
"RI_Yes.Content","Igen","Yes"
"S_ActSub","Aktív előfizetés","Active subscription"
"S_ActSub_Msg1","Úgy tűnik, már van egy aktív előfizetése. Szakítsa meg a műveletet, hogy elkerülje az ismételt vásárlást!","Looks like you already have an active subscription, make sure to cancel it to avoid additional billing."
"S_AddMore","Továbbiak hozzáadása…","Add more ..."
"S_AddSite_Err1","A cím nem lehet üres","Title cannot be empty"
"S_AddSite_Err2","A cím  hossza maximum 100 karakter lehet","Title length can be up-to 100 chars"
"S_AdMsg1","Frissítsen a Prémium változatra","Upgrade to PREMIUM version"
"S_AdMsg2","A hirdetések eltávolításához, és további funkciók eléréséhez kattintson ide.","To remove Ads and get additional features, click here."
"S_All","Összes","All"
"S_AppWidthBookInfo","Ablakszélesség nem elegendő a könyvinformációs oldalpanel megjelenítéséhez","App window width too small to open Book info pane."
"S_AppWidthLess","Az ablak túl keskeny.","App window width too less."
"S_AS_AvgPagePerHr","Átlapozott oldalak száma óránként átlagosan","Avg. number of pages flipped per hour"
"S_AS_AvgReadHours","Olvasással töltött órák száma naponta átlagosan","Avg. reading hours per day"
"S_AS_AvgTimePerPage","Oldalankénti átlagos olvasási sebesség (másodperc)","Avg. reading time (sec) per page"
"S_AS_Msg1","Biztos benne, hogy törölni kíván minden statisztikai adatot?","Are you sure you want to clear all statistics?"
"S_AS_NumBooksLib","A könyvtárban lévő könyvek száma","Number of books in library"
"S_AS_NumBooksRead","Olvasott könyvek száma","Number of books read"
"S_AS_NumPagesTurned","Átlapozott oldalak száma ","Number of pages flipped"
"S_AS_SpeedWPM","Olvasási sebesség (szó/perc)","Reading speed (words per minute)"
"S_AS_TotalReadHours","Összes olvasással töltött idő (óra)","Total reading hours"
"S_B_Close","Bezárás","Close"
"S_B_OnlineBookContent1","Válassza ki azt a weboldalt, ahonnan le kívánja tölteni az e-könyvet.
[1/4]","Select the website from where you want to download the eBook.
[1/4]"
"S_B_OnlineBookContent2","Böngéssze át a katalógust, majd kattintson bármely e-könyv linkjére, és a program letölti és a könyvtárhoz adja a könyvet.
[2/4]","Browse the catalog and click on any eBook download link. App will download the book and add it to the library.
[2/4]"
"S_B_OnlineBookContent3","Itt fognak megjelenni a letöltések.
[3/4]","Your downloads would appear here.
[3/4]"
"S_B_OnlineBookContent4","Adjon hozzá saját webcímet, ahonnan e-könyvet kíván letölteni.
[4/4]","Add your own website from where you want to download eBooks.
[4/4]"
"S_B_OnlineBookTitle1","E-könyv weboldal kiválasztása","Select eBook website"
"S_B_OnlineBookTitle2","E-könyv letöltése","Download eBook"
"S_B_OnlineBookTitle3","Szám letöltések","Track downloads"
"S_B_OnlineBookTitle4","E-könyv weboldal hozzáadása","Add eBook website"
"S_B_PauseReading","Felolvasás szüneteltetése (Space)","Pause Reading (Space)"
"S_B_StartReading","Felolvasás indítása (Space)","Start Reading (Space)"
"S_B_TutDone","Kész","Done"
"S_B_TutNext","Következő","Next"
"S_B_TutReaderContent1","Érintse meg a képernyő sarkait, az oldal csúsztatásához használja a nyílbillentyűket (←  / →) vagy az egérgörgőt,  hogy oda-vissza lapozhasson.
[1/8]","Tap on the edges of the screen, swipe the page, use ← / → keyboard keys or use mouse scroll wheel, to go to next or previous page.
[1/8]"
"S_B_TutReaderContent2","Jelölje ki a szöveget vagy kattintson jobb gombbal bármelyik szóra, az Olvasási menü megnyitásához.
Itt van lehetősége jegyzet hozzáadására, kiemelésre vagy könyvjelző hozzáadására.
[2/8]","Select text or right click on any word to open the Reader context menu.
You can add note, highlight or bookmark from here.
[2/8]"
"S_B_TutReaderContent3","Innen hozzáférhet a tartalomjegyzékhez.
[3/8]","Access the table of contents of the book from here.
[3/8]"
"S_B_TutReaderContent4","Itt találja jegyzeteinek és kiemeléseinek listáját.
[4/8]","Your notes and highlights would be listed here.
[4/8]"
"S_B_TutReaderContent5","A beállított könyvjelzők itt jelennek majd meg.
[5/8]","Set bookmarks would appear here.
[5/8]"
"S_B_TutReaderContent6","Keressen az aktuális fejezeten belül, vagy a teljes könyvben.
[6/8]","Search in the current chapter or the entire book.
[6/8]"
"S_B_TutReaderContent7","Ezt a könyv felolvastatására használhatja.
[7/8]","You can use this to read aloud the book contents (text-to-speech).
[7/8]"
"S_B_TutReaderContent8","Itt van lehetősége módosítani az oldal elrendezését, stílusát, a használt színeket stb.
[8/8]","You can configure the page layout, style, color scheme, etc. from here.
[8/8]"
"S_B_TutReaderTitle1","Oldalváltás","Page change"
"S_B_TutReaderTitle2","Olvasási menü","Reader context menu"
"S_B_TutReaderTitle3","Tartalomjegyzék","Table of contents"
"S_B_TutReaderTitle4","Jegyzetek és kiemelések","Notes and highlights"
"S_B_TutReaderTitle5","Könyvjelzők","Bookmarks"
"S_B_TutReaderTitle6","Keresés","Search"
"S_B_TutReaderTitle7","Felolvasás","ReadAloud"
"S_B_TutReaderTitle8","Szöveg stílusa","Text style"
"S_Backup","Helyreállítás","Backup"
"S_Backup_ErrMsg1","Válasszon legalább 1 beállítást.","Select at-least 1 configuration"
"S_Backup_ErrMsg2","A művelet sikertelen, kérjük forduljon a terméktámogatáshoz!","Operation failed. Plz contact support."
"S_BannerAds","Hirdetési bannerek","Banner Ads"
"S_BookAddedMsg","{0}: A könyv hozzáadása sikeres.","{0}: Book added successfully."
"S_BookAddStartScreen","Könyv hozzáadva a Start menühöz.","Book added to start screen."
"S_BookExistsMsg","{0}: A könyv már létezik.","{0}: Book already exists."
"S_BookFont","Könyv betűtípusa","Book's font"
"S_BookmarkAdded","Könyvjelző hozzáadva.","Bookmark added."
"S_BookmarkExists","A könyvjelző már létezik.","Bookmark already exists."
"S_BookRmStartScreen","Könyv eltávolítva a Start menüről.","Book removed from start screen."
"S_BooksAdded","{0} könyv hozzáadva.","{0} book(s) added."
"S_BooksAlreadyExists","A könyv már létezik.","Book already exists."
"S_BookSystemLimitError_Msg","További könyvek hozzáadása nem lehetséges, elérte a limitet. Fontolja meg az egyénileg hozzáadott könyvek eltávolítását, nagy mennyiségű könyv hozzáadásához pedig használja a „Mappa hozzáadása” lehetőséget.","Cannot add more books as the system limit has been reached. Consider removing individually added book files and use 'Add Folder' option to add books in bulk."
"S_BookSystemLimitError_Title","Könyv(ek) hozzáadása nem lehetséges.","Unable to add book(s)"
"S_Cancelled","Leállítva","Cancelled"
"S_Collapse","Összecsukás","Collapse"
"S_CollectionConstAll","Minden","All"
"S_CollectionConstBookmarks","Könyvjelzők","Bookmarks"
"S_CollectionConstHighlights","Kiemelések","Highlights"
"S_CollectionConstNotes","Jegyzetek","Notes"
"S_Completed","Kész","Completed"
"S_Confirmation","Megerősítés","Confirmation"
"S_CTheme1","Szőlőhegy","Vine Yard"
"S_CTheme2","Sötét oldal","Dark Side"
"S_CTheme3","Friss bogyó","Fresh Berry"
"S_CTheme4","Kásás narancs","Pulpy Orange"
"S_CTheme5","Tiszta égbolt","Clear sky"
"S_CTheme6","Villanás","Flash"
"S_CTheme7","Türkiz","Turquoise"
"S_CTheme8","Zöld alma","Green Apple"
"S_CThemeMsg1","Téma átmásolva a vágólapra.","Theme copied to clipboard."
"S_CThemeMsg2","A téma nincs kijelölve.","Theme not selected."
"S_CurrentChapter","Aktuális fejezet","Current chapter"
"S_DateAdded.Text","Hozzáadás dátuma:","Date added : "
"S_Description.Text","Leírás: ","Description : "
"S_DockLeft","Dokkolás balra","Dock left"
"S_DockRight","Dokkolás jobbra","Dock right"
"S_DownloadBook","Könyv letöltése","Download book"
"S_DownloadBook_Msg","Le kívánja tölteni ezt a könyvet és hozzá kívánja adni a könyvtárhoz?","Do you want to download this book and add to library?"
"S_Downloading","Letöltések","Downloading"
"S_EntireBook","Teljes könyv","Entire book"
"S_ErrMsg1","Az Aquile Reader-nek nincs engedélye, hogy hozzáférhessen a könyvfájlhoz  - {0}.
Kattintson „Engedélyezés”-re és a fájlválasztó ablakban válassza ugyanazt a könyvfájlt.","Aquile Reader does not have permission to access the book file - {0}.
Click 'Grant Permission' and select the same book file in the file picker window."
"S_ErrMsg1_btn","Engedélyezés","Grant Permission"
"S_ErrMsg2","A megnyitni kívánt fájl már nem létezik.
Kérjük, ellenőrizze majd próbálja újra!","The file you are trying to open, no longer exists.
Please check and try again."
"S_ErrMsg3","Ez a fájl feltehetőleg használatban van, zárolt, vagy nem rendelkezik megfelelő jogosultsággal a hozzáféréshez.","The file may be in use, locked, or you don't have sufficient permissions."
"S_ErrMsg4","A kiválasztott fájl eltér az eredetitől - {0}.","Selected File is different from the original book file - {0}."
"S_ErrMsg6","Ha probléma továbbra is fennáll, forduljon a terméktámogatáshoz!","If the problem persists please contact support."
"S_ErrTitle1","Nem sikerült hozzáférni a könyvhöz!","Unable to access the book!"
"S_ErrTitle2","A fájl nem létezik!","File does not exist!"
"S_ErrTitle3","A fájl megnyitása sikertelen!","Can't open file!"
"S_ErrTitle4","Egyező fájl!","Not the same file!"
"S_ErrTitle5","Váratlan hiba lépett fel!","Unexpected error occurred!"
"S_ErrTitle6","A fájl megnyitása sikertelen volt!","Couldn't open file"
"S_Expand","Nagyítás","Expand"
"S_Failed","Sikertelen","Failed"
"S_FileCountLimitBtn1","Befejezés és a „Mappa hozzáadása” opció használata","Abort and use 'Add Folder'"
"S_FileCountLimitBtn2","Könyvek hozzáadásának folytatása","Continue to add books"
"S_FileCountLimitMsg","Nagy mennyiségű könyv egyenkénti hozzáadásával elérheti a limitet, így nem lesz lehetséges új könyvek hozzáadása.
Több könyv hozzáadásához használja a „Mappa hozzáadása” opciót!","Adding large number of individual book files can hit system limit, thus preventing new book from being added.
Use 'Add Folder' option to add book files in bulk."
"S_FileCountLimitTitle","Figyelmeztetés!","Warning!"
"S_FileNotSaved","{0} nem sikerült menteni.","{0} could not be saved."
"S_FilePath.Text","Fájl útvonala : ","File path : "
"S_FileSaved","{0} elmentve.","{0} was saved."
"S_Genre.Text","Műfaj : ","Genre : "
"S_GoPrem","Váltás Prémiumra","Go Premium"
"S_HighNotes_Msg1","A kijelölt tartalom nem foglalhatja magába az élőfej vagy élőláb üres területeit. Ismételje meg a kijelölést!","Selected content should not include the white spaces from header or footer. Please re-select."
"S_HighNotesMsg1","Kiemelés hozzáadása nem lehetséges, amíg a keresősáv meg van nyitva.","Highlight cannot be added while search pane is open."
"S_HighNotesMsg2","A kiemelés és jegyzet céljára kijelölt szöveg nem fedheti egymást.","Selected text for Highlight and Note cannot overlap."
"S_HighNotesMsg3","Minimum 1 karakter kijelölése szükséges a kiemeléshez.","Minimum 1 character must be selected for highlight."
"S_HighNotesMsg4","Maximum 4000 karakter kijelölése lehetséges kiemeléshez.","Maximum 4000 characters can be selected for highlight."
"S_HighNotesMsg5","Jegyzet hozzáadása nem lehetséges, amíg a keresősáv meg van nyitva.","Note cannot be added while search pane is open."
"S_HighNotesMsg6","A kiemelés és jegyzet céljára kijelölt szöveg nem fedheti egymást.","Selected text for Note and Highlight cannot overlap."
"S_HighNotesMsg7","Minimum 1 karakter kijelölése szükséges jegyzet hozzáadásához.","Minimum 1 character must be selected for adding note."
"S_HighNotesMsg8","Maximum 4000  karakter jelölhető ki jegyzet hozzáadásakor.","Maximum 4000 characters can be selected for adding note."
"S_HighNotesMsg9","A jegyzet szövege nem lehet üres.","Note text cannot be empty."
"S_InterstitialAds","Közbeeső hirdetések","Interstitial Ads"
"S_InvalidUrl","Érvénytelen URL","Invalid URL"
"S_Language.Text","Nyelv:","Language : "
"S_LastRead.Text","Utoljára olvasott:","Last read : "
"S_LibConstAllBooks","Összes könyv:","All Books"
"S_LibConstCompleted","Befejezett","Completed"
"S_LibConstDownloads","Letöltések","Downloads"
"S_LibConstFav","Kedvencek","Favourites"
"S_LibConstNotStarted","Nem elkezdett","Not Started"
"S_LibConstReading","Éppen olvasott","Reading"
"S_LineCount.Text","Sorok száma:","Line count : "
"S_matchesFound","{0} találat","{0} matches found"
"S_MoreFonts","Szerezzen be további betűkészleteket!","Get more fonts!!"
"S_No","Nem","No"
"S_None","(Nincs)","(None)"
"S_NotSupported","Nem támogatott","Not supported"
"S_NotSupported_Msg","Epub kiterjesztésen kívül más fájlformátum letöltése nem támogatott","Download of files other than .epub is not supported"
"S_OnlineBook_CompleteAdded","Kész | Hozzáadva a könyvtárhoz","Completed | Added to library"
"S_OnlineBook_CompleteExists","Kész | Már létezik","Completed | Already exists"
"S_OnlineBook_CompleteFailAdd","Kész | A könyvtárhoz történő hozzáadás sikertelen","Completed | Failed to add to library"
"S_PercentageRead.Text","Elolvasott százalék:","Percentage read : "
"S_Pin","Kitűzés","Pin"
"S_Prem_Msg1","Elnézést! Úgy tűnik, már rendelkezik ezzel. Frissítettük a katalógust, hogy a megfelelő állapotot mutassa.","Apologies! Looks like you already own this, we have updated our records to reflect this correctly."
"S_Prem_Msg2","Gratulálunk! A vásárlás sikeres volt!","Congrats! The purchase was successful."
"S_Prem_Msg3","Elnézést kérünk! Úgy tűnik, hogy a tranzakció megszakításra került. Kérjük, próbálja újra!","Sorry! Looks like the transaction was canceled, plz try again."
"S_Prem_Msg4","Elnézést kérünk! Úgy tűnik, hogy a vásárlás hálózati hiba miatt meghiúsult. Kérjük, próbálja újra!","Sorry! Looks like the purchase failed due to network issues, plz try again."
