"Name","Value","Comment"
"B_Theme3.ToolTipService.ToolTip","Сепія (Ctrl + T + 3)","Sepia (Ctrl + T + 3)"
"B_Theme4.Content","Нічна","Night"
"B_Theme4.ToolTipService.ToolTip","Нічна (Ctrl + T + 4)","Night (Ctrl + T + 4)"
"B_Theme5.Content","Вигоріла","Solarized"
"B_Theme5.ToolTipService.ToolTip","Вигоріла (Ctrl + T + 5)","Solarized (Ctrl + T + 5)"
"B_Theme6.Content","Власна","Custom"
"B_TOC.ToolTipService.ToolTip","Зміст","Table Of Contents"
"B_ToggleFav.ToolTipService.ToolTip","Перемкнути Обране","Toggle Favorite"
"B_ToggleFullscreen.ToolTipService.ToolTip","Увімкнути або вимкнути повноекранний режим (F11)","Toggle Fullscreen (F11)"
"B_Translate.ToolTipService.ToolTip","Перекласти","Translate"
"B_Tw.ToolTipService.ToolTip","Підпишіться на нас у Twitter","Follow us on Twitter"
"B_ZoomIn.ToolTipService.ToolTip","Збільшити","Zoom In"
"B_ZoomOut.ToolTipService.ToolTip","Зменшити","Zoom Out"
"C_AddFolder_AddRecent.Content","Додати книги до списку нещодавніх","Add books to recent list"
"C_AddFolder_AutoRemove.Content","Автоматично прибирати книги з бібліотеки (включно з примітками, виділеннями маркером тощо) коли файли видаляються з папки","Automatically remove books from the library (including notes, highlights, etc) when files are deleted from the folder"
"C_AddFolder_RecSearch.Content","Рекурсивно шукати у вкладених папках","Recursively search sub-folders"
"C_AddFolder_SyncFolder.Content","Синхронізувати цю папку і автоматично додавати нові книги","Sync this folder and automatically add new books"
"C_Backup_AStats.Content","Статистика програми","App statistics"
"C_Backup_BFav.Content","Список обраного в книгах","Book favorite list"
"C_Backup_BFiles.Content","Файли книг","Book files"
"C_Backup_BMeta.Content","Метадані книг","Book metadata"
"C_Backup_Bookmarks.Content","Закладки","Bookmarks"
"C_Backup_Config.Description","Оберіть конфігурацію для операції створення або відновлення резервної копії","Select the configuration for backup or restore operation"
"C_Backup_Config.Title","Вибір конфігурації","Choose configuration"
"C_Backup_NandH.Content","Примітки і виділення маркером","Notes & highlights"
"C_Backup_Operation.Description","Оберіть операцію, яку бажаєте виконати","Select the operation you want to perform"
"C_Backup_Operation.Title","Вибір операції","Choose operation"
"C_Backup_Storage.Description","Оберіть місце зберігання файлів","Select the source or target storage for the operation"
"C_Backup_Storage.Title","Вибір розташування сховища","Choose storage"
"C_Books.ToolTipService.ToolTip","Книги","Books"
"C_ChapterList.ToolTipService.ToolTip","Список глав","Chapter list"
"C_CollectionType.ToolTipService.ToolTip","Тип колекції","Collection Type"
"C_General_Advt.Description","Вподобання щодо типу реклами","Preference for type of advertisements"
"C_General_Advt.Title","Рекламні вподобання","Advt. preference"
"C_General_BookTitle.Description","Відображати назви для всіх книг у бібліотеці","Display title for all books in the library view"
"C_General_BookTitle.Title","Показувати назви книг","Show book titles"
"C_General_Lang.Description","Кнопки, меню і інші елементи будуть відображатися цією мовою.
Це налаштування буде застосоване при наступному старті програми.","Buttons, menus and other controls will show in this language.
This setting will be applied on the next start of the app."
"C_General_Lang.Title","Мова інтерфейсу","Display language"
"C_General_Tutorial.Description","Знову показати покрокову інструкцію","Show all the tutorials again"
"C_General_Tutorial.Title","Скинути інструкцію","Reset tutorials"
"C_Personal_ColorThemes.Title","Колірні теми","Color themes"
"C_Personal_TransBanckground.Title","Прозорий фон","Transparent background"
"C_Personal_TransBanckSlider.Title","Прозорість фону","Background transparency"
"C_Prem1.BillDetails","Оплата щокварталу","Billed quarterly"
"C_Prem1.DurationString"," місяці"," months"
"C_Prem2.BillDetails","Оплата щороку","Billed annually"
"C_Prem2.DurationString"," місяців"," months"
"C_Prem3.BillDetails","Одноразове придбання","One time purchase"
"C_Prem3.DurationString","Пожиттєво","Lifetime"
"C_Reader_AutoLayout.Description","У 2-колонковому макеті, коли пристрій повертається в портретний режим, читалка автоматично перемикатиметься на 1-колонковий макет, і навпаки","In 2-column layout when device rotates to portrait mode, reader will auto switch to 1-column layout, and vice versa"
"C_Reader_AutoLayout.Title","Automatic layout switching","Auto switch to 1 column layout"
"C_Reader_AutoScroll.Description","Сторінка автоматично прокручуватиметься вслід за реченням, що озвучується в режимі читання вголос","Auto scrolls the page to follow the sentence being read in the ReadAloud mode"
"C_Reader_AutoScroll.Title","Автопрокрутка при читанні вголос","ReadAloud auto-scroll"
"C_Reader_BookFont.Description","Читалка використовуватиме оригінальні шрифти, що йдуть в комплекті з книгою","Reader uses the original fonts packaged with the book"
"C_Reader_BookFont.Title","Використання шрифтів книги","Use book's fonts"
"C_Reader_DictLang.Description","Мова словника в читалці","Language of the in-reader dictionary"
"C_Reader_DictLang.Title","Мова словника","Dictionary language"
"C_Reader_EnhRender.Description","Покращить формат/макет, в якому книги відмальовуються для читання","Improves the format/layout in which books are rendered for reading"
"C_Reader_EnhRender.Title","Покращена візуалізація","Enhanced rendering"
"C_Reader_SearchEngine.Description","Пошуковик для веб-пошуку","Search engine to use for web search"
"C_Reader_SearchEngine.Title","Пошукова система","Search engine"
"C_Reader_StdMrgn.Description","Перевизначає будь-які поля, установлені в книзі, щоб забезпечити узгоджений макет у читалці","Overrides any margin specified in the book to provide consistent layout in the reader"
"C_Reader_StdMrgn.Title","Стандартизація полів","Standardize margins"
"C_Reader_TextAlign.Description","Перевизначає будь-які параметри вирівнювання тексту, установлені в книзі, щоб забезпечити узгоджений макет у читалці","Overrides any text alignment preference set in the book to provide consistent layout in the reader"
"C_Reader_TextAlign.Title","Перевизначення вирівнювання тексту","Override text alignment"
"C_ShowFavs.Content","Показувати тільки обране","Show only favorites"
"CB_Category.ToolTipService.ToolTip","Категорії","Categories"
"EBI_Author.Text","Автор(и): ","Author(s) : "
"EBI_Cover1.Content","Обрати обкладинку","Select cover"
"EBI_Cover2.ToolTipService.ToolTip","Повернути оригінальну обкладинку","Restore original cover"
"EBI_Description.Text","Опис: ","Description : "
"EBI_ErrMsg1","Номер в серії не може бути порожнім","Series number cannot be empty"
"EBI_ErrMsg2","Номер в серії некоректний","Series number not valid"
"EBI_Genre.Text","Жанр(и): ","Genre(s) : "
"EBI_Language.Text","Мова(и): ","Language(s) : "
"EBI_Msg1.Text"," • (и) - Використовуйте крапку з комою ( ; ) щоб відокремити декілька елементів."," • (s) - Use semi-colon ( ; ) to separate multiple entries."
"EBI_Publisher.Text","Видавець(и): ","Publisher(s) : "
"EBI_Series.Text","Серія: ","Series : "
"EBI_SeriesNumber.Text","Номер в серії: ","Series Number : "
"EBI_Title.Text","Редагувати інформацію","Edit book information"
"IAP_Discount.Text","- 20%","20% off"
"IAP_Popular.Text","популярний","Most Popular"
"M_About.Content","Про нас","About us"
"M_AddBook.Text","Додати файли книг","Add book file(s)"
"M_AddFavourite.Text","Додати в обране","Add Favourite"
"M_AddFolder.Text","Додати папку","Add folder"
"M_Backup.Content","Резервна копія","Backup & Restore"
"M_BookInfo.Text","Інформація про книгу","Book Info"
"M_ChngLog.Content","Журнал змін","Change log"
"M_CreationTime.Text","Дата створення","Creation time"
"M_Edit.Text","Редагувати","Edit"
"M_EditBookInfo.Text","Редагувати інформацію","Edit Book Info"
"M_General.Content","Загальне","General"
"M_OpenBook.Text","Відкрити книгу","Open Book"
"M_Personal.Content","Персоналізація","Personalization"
"M_PinUnpin.Text","Закріпити/Відкріпити у меню ""Пуск""","Pin/Unpin to Start"
"M_PosInBook.Text","Позиція в книзі","Position in book"
"M_Reader.Content","Читалка","Reader"
"M_Remove.Text","Прибрати","Remove"
"M_RemoveFavourite.Text","Прибрати з обраного","Remove Favourite"
"M_SaveToFile.Text","Зберегти в файл","Save to file"
"M_Share.Text","Поділитися","Share"
"M_SyncFolder.Content","Синхронізація папок","Sync folders"
"N_Collections.Content","Колекції","Collections"
"N_Feedback.Content","Відгук","Feedback"
"N_Home.Content","Початок","Home"
"N_Library.Content","Бібліотека","Library"
"N_OnlineBooks.Content","Книги в інтернеті","Online Books"
"N_Premium.Content","Преміум","Premium"
"N_ReportBug.Content","Повідомити про помилку","Report bug"
"N_Settings.Content","Налаштування","Settings"
"N_Statistics.Content","Статистика","Statistics"
"RI_No","Ні","No"
"RI_Title.Text","Вам подобається Aquile Reader?","Are you enjoying Aquile Reader?"
"RI_Title2","Не могли б ви приділити хвилинку, щоб оцінити нас у магазині?","Would you spare a moment to rate us on the store?"
"RI_Title3","Хочете поділитися з нами відгуком?","Would you like to share some feedback with us?"
"RI_Yes.Content","Так","Yes"
"S_ActSub","Активна підписка","Active subscription"
"S_ActSub_Msg1","Схоже, у вас вже є активна підписка, переконайтеся, що скасували її, щоб уникнути зайвого списання коштів.","Looks like you already have an active subscription, make sure to cancel it to avoid additional billing."
"S_AddMore","Додати ще...","Add more ..."
"S_AddSite_Err1","Назва не може бути пустою","Title cannot be empty"
"S_AddSite_Err2","Довжина назви може бути не більше 100 символів","Title length can be up-to 100 chars"
"S_AdMsg1","Перейдіть на ПРЕМІУМ-версію","Upgrade to PREMIUM version"
"S_AdMsg2","Щоб прибрати рекламу і отримати додаткові функції, натисніть сюди.","To remove Ads and get additional features, click here."
"S_All","Всі","All"
"S_AppWidthBookInfo","Ширина вікна програми замала, щоб відкрити панель інформації про книгу.","App window width too small to open Book info pane."
"S_AppWidthLess","Ширина вікна програми занадто мала.","App window width too less."
"S_AS_AvgPagePerHr","Сер. кількість перегортань сторінок на годину","Avg. number of pages flipped per hour"
"S_AS_AvgReadHours","Сер. кількість годин читання на день","Avg. reading hours per day"
"S_AS_AvgTimePerPage","Сер. час читання (сек) однієї сторінки","Avg. reading time (sec) per page"
"S_AS_Msg1","Впевнені, що хочете очистити всю статистику?","Are you sure you want to clear all statistics?"
"S_AS_NumBooksLib","Кількість книг в бібліотеці","Number of books in library"
"S_AS_NumBooksRead","Кількість прочитаних книг","Number of books read"
"S_AS_NumPagesTurned","Кількість перегорнутих сторінок","Number of pages flipped"
"S_AS_SpeedWPM","Швидкість читання (слів на хвилину)","Reading speed (words per minute)"
"S_AS_TotalReadHours","Всього годин читання","Total reading hours"
"S_B_Close","Закрити","Close"
"S_B_OnlineBookContent1","Виберіть веб-сайт, з якого ви хочете завантажити електронну книгу.
[1/4]","Select the website from where you want to download the eBook.
[1/4]"
"S_B_OnlineBookContent2","Перегляньте каталог і натисніть будь-яке посилання для завантаження електронної книги. Програма завантажить книгу та додасть її до бібліотеки.
[2/4]","Browse the catalog and click on any eBook download link. App will download the book and add it to the library.
[2/4]"
"S_B_OnlineBookContent3","Ваші завантаження відображатимуться тут.
[3/4]","Your downloads would appear here.
[3/4]"
"S_B_OnlineBookContent4","Додайте власний веб-сайт, звідки ви хочете завантажувати електронні книги.
[4/4]","Add your own website from where you want to download eBooks.
[4/4]"
"S_B_OnlineBookTitle1","Виберіть веб-сайт з електронними книгами","Select eBook website"
"S_B_OnlineBookTitle2","Завантажте електронну книгу","Download eBook"
"S_B_OnlineBookTitle3","Відстежуйте завантаження","Track downloads"
"S_B_OnlineBookTitle4","Додайте веб-сайт з електронними книгами","Add eBook website"
"S_B_PauseReading","Призупинити читання (Пробіл)","Pause Reading (Space)"
"S_B_StartReading","Почати читання (Пробіл)","Start Reading (Space)"
"S_B_TutDone","Готово","Done"
"S_B_TutNext","Далі","Next"
"S_B_TutReaderContent1","Щоб перейти до наступної чи попередньої сторінки, торкніться країв екрана, проведіть пальцем по сторінці, використовуйте клавіші ← / → на клавіатурі або колесо миші.
[1/8]","Tap on the edges of the screen, swipe the page, use ← / → keyboard keys or use mouse scroll wheel, to go to next or previous page.
[1/8]"
"S_B_TutReaderContent2","Виділіть текст або клацніть будь-яке слово правою кнопкою миші, щоб відкрити контекстне меню читалки.Звідси ви можете додати примітку, виділити маркером або зробити закладку.
[2/8]","Select text or right click on any word to open the Reader context menu.
You can add note, highlight or bookmark from here.
[2/8]"
"S_B_TutReaderContent3","Тут ви можете знайти зміст книги.
[3/8]","Access the table of contents of the book from here.
[3/8]"
"S_B_TutReaderContent4","Ваші примітки і виділені маркером фрагменти будуть тут.
[4/8]","Your notes and highlights would be listed here.
[4/8]"
"S_B_TutReaderContent5","Закладки з'являться тут.
[5/8]","Set bookmarks would appear here.
[5/8]"
"S_B_TutReaderContent6","Шукайте в поточній главі або в усій книзі.
[6/8]","Search in the current chapter or the entire book.
[6/8]"
"S_B_TutReaderContent7","За допомогою цього можна читати книгу вголос (синтез мовлення).
[7/8]","You can use this to read aloud the book contents (text-to-speech).
[7/8]"
"S_B_TutReaderContent8","Тут ви можете налаштувати макет сторінки, стиль, колірну схему тощо.
[8/8]","You can configure the page layout, style, color scheme, etc. from here.
[8/8]"
"S_B_TutReaderTitle1","Зміна сторінки","Page change"
"S_B_TutReaderTitle2","Контекстне меню читалки","Reader context menu"
"S_B_TutReaderTitle3","Зміст","Table of contents"
"S_B_TutReaderTitle4","Примітки і виділення маркером","Notes and highlights"
"S_B_TutReaderTitle5","Закладки","Bookmarks"
"S_B_TutReaderTitle6","Пошук","Search"
"S_B_TutReaderTitle7","Читання вголос","ReadAloud"
"S_B_TutReaderTitle8","Стиль тексту","Text style"
"S_Backup","Резервна копія","Backup"
"S_Backup_ErrMsg1","Виберіть щонайменше 1 конфігурацію","Select at-least 1 configuration"
"S_Backup_ErrMsg2","Не вдалося виконати операцію. Будь ласка, зв'яжіться зі службою підтримки.","Operation failed. Plz contact support."
"S_BannerAds","Рекламні банери","Banner Ads"
"S_BookAddedMsg","{0}: Книгу успішно додано.","{0}: Book added successfully."
"S_BookAddStartScreen","Книгу додано до початкового екрану.","Book added to start screen."
"S_BookExistsMsg","{0}: Книга вже існує.","{0}: Book already exists."
"S_BookFont","Шрифт книги","Book's font"
"S_BookmarkAdded","Закладку додано.","Bookmark added."
"S_BookmarkExists","Закладка вже існує.","Bookmark already exists."
"S_BookRmStartScreen","Книгу прибрано з початкового екрану.","Book removed from start screen."
"S_BooksAdded","Книг додано: {0}.","{0} book(s) added."
"S_BooksAlreadyExists","Книга вже існує.","Book already exists."
"S_BookSystemLimitError_Msg","Не можна додати більше книг, оскільки досягнуто системного ліміту. Ви можете видалити окремо додані файли книг і скористатися опцією ""Додати папку"", щоб масово додавати книги.","Cannot add more books as the system limit has been reached. Consider removing individually added book files and use 'Add Folder' option to add books in bulk."
"S_BookSystemLimitError_Title","Не вдалося додати книги","Unable to add book(s)"
"S_Cancelled","Скасовано","Cancelled"
"S_Collapse","Згорнути","Collapse"
"S_CollectionConstAll","Всі","All"
"S_CollectionConstBookmarks","Закладки","Bookmarks"
"S_CollectionConstHighlights","Виділення маркером","Highlights"
"S_CollectionConstNotes","Примітки","Notes"
"S_Completed","Завершено","Completed"
"S_Confirmation","Підтвердження","Confirmation"
"S_CTheme1","Виноградник","Vine Yard"
"S_CTheme2","Темна сторона","Dark Side"
"S_CTheme3","Свіжі ягоди","Fresh Berry"
"S_CTheme4","Апельсин","Pulpy Orange"
"S_CTheme5","Чисте небо","Clear sky"
"S_CTheme6","Спалах","Flash"
"S_CTheme7","Черепаха","Turquoise"
"S_CTheme8","Зелене яблуко","Green Apple"
"S_CThemeMsg1","Тему скопійовано в буфер обміну.","Theme copied to clipboard."
"S_CThemeMsg2","Тема не вибрана.","Theme not selected."
"S_CurrentChapter","Поточна глава","Current chapter"
"S_DateAdded.Text","Дата додавання: ","Date added : "
"S_Description.Text","Опис: ","Description : "
"S_DockLeft","Пристикувати зліва","Dock left"
"S_DockRight","Пристикувати справа","Dock right"
"S_DownloadBook","Завантажити книгу","Download book"
"S_DownloadBook_Msg","Бажаєте завантажити цю книгу і додати до бібліотеки?","Do you want to download this book and add to library?"
"S_Downloading","Завантаження","Downloading"
"S_EntireBook","Вся книга","Entire book"
"S_ErrMsg1","Aquile Reader не має дозволу на доступ до файлу книги - {0}.
Натисніть ""Надати дозвіл"" і виберіть той же самий файл книги у вікні вибору файлів.","Aquile Reader does not have permission to access the book file - {0}.
Click 'Grant Permission' and select the same book file in the file picker window."
"S_ErrMsg1_btn","Надати дозвіл","Grant Permission"
"S_ErrMsg2","Файл, який ви намагаєтеся відкрити, більше не існує.
Будь ласка, перевірте його наявність, та повторіть спробу.","The file you are trying to open, no longer exists.
Please check and try again."
"S_ErrMsg3","Можливо, файл використовується, заблокований або у вас недостатньо прав.","The file may be in use, locked, or you don't have sufficient permissions."
"S_ErrMsg4","Вибраний файл відрізняється від вихідного файлу книги - {0}.","Selected File is different from the original book file - {0}."
"S_ErrMsg6","Якщо проблема не зникає, зверніться до служби підтримки.","If the problem persists please contact support."
"S_ErrTitle1","Не вдалося отримати доступ до книги!","Unable to access the book!"
"S_ErrTitle2","Файл не існує!","File does not exist!"
"S_ErrTitle3","Не вдалося відкрити файл!","Can't open file!"
"S_ErrTitle4","Не той самий файл!","Not the same file!"
"S_ErrTitle5","Сталася неочікувана помилка!","Unexpected error occurred!"
"S_ErrTitle6","Не вдалося відкрити файл","Couldn't open file"
"S_Expand","Розгорнути","Expand"
"S_Failed","Помилка","Failed"
"S_FileCountLimitBtn1","Перервати та використати ""Додати папку""","Abort and use 'Add Folder'"
"S_FileCountLimitBtn2","Продовжити додавати книги","Continue to add books"
"S_FileCountLimitMsg","Додавання великої кількості окремих файлів книг може перевищити системний ліміт, таким чином перешкоджаючи додаванню нової книги.
Використовуйте опцію ""Додати папку"", щоб масово додавати файли книг.","Adding large number of individual book files can hit system limit, thus preventing new book from being added.
Use 'Add Folder' option to add book files in bulk."
"S_FileCountLimitTitle","Увага!","Warning!"
"S_FileNotSaved","{0} не вдалося зберегти.","{0} could not be saved."
"S_FilePath.Text","Шлях до файлу: ","File path : "
"S_FileSaved","{0} збережено.","{0} was saved."
"S_Genre.Text","Жанр: ","Genre : "
"S_GoPrem","Перейти на Преміум","Go Premium"
"S_HighNotes_Msg1","Вибраний вміст не повинен включати пробіли в верхньому або нижньому колонтитулі. Будь ласка, виберіть ще раз.","Selected content should not include the white spaces from header or footer. Please re-select."
"S_HighNotesMsg1","Неможливо додати виділення маркером, коли відкрита панель пошуку.","Highlight cannot be added while search pane is open."
"S_HighNotesMsg2","Вибраний текст для виділення маркером і примітки не може пересікатися.","Selected text for Highlight and Note cannot overlap."
"S_HighNotesMsg3","Для виділення маркером необхідно вибрати щонайменше 1 символ.","Minimum 1 character must be selected for highlight."
"S_HighNotesMsg4","Для виділення маркером може бути вибрано не більше 4000 символів.","Maximum 4000 characters can be selected for highlight."
"S_HighNotesMsg5","Неможливо додати виділення маркером, коли відкрита панель пошуку.Неможливо додати примітку, коли відкрита панель пошуку.","Note cannot be added while search pane is open."
"S_HighNotesMsg6","Вибраний текст для примітки і виділення маркером не може пересікатися.","Selected text for Note and Highlight cannot overlap."
"S_HighNotesMsg7","Для додавання примітки необхідно вибрати щонайменше 1 символ.","Minimum 1 character must be selected for adding note."
"S_HighNotesMsg8","Для додавання примітки може бути вибрано не більше 4000 символів.","Maximum 4000 characters can be selected for adding note."
"S_HighNotesMsg9","Текст примітки не може бути порожнім.","Note text cannot be empty."
"S_InterstitialAds","Рекламна заставка","Interstitial Ads"
"S_InvalidUrl","Недійсна URL-адреса","Invalid URL"
"S_Language.Text","Мова: ","Language : "
"S_LastRead.Text","Останнє прочитання: ","Last read : "
"S_LibConstAllBooks","Всі книги","All Books"
"S_LibConstCompleted","Завершені","Completed"
"S_LibConstDownloads","Завантажені","Downloads"
"S_LibConstFav","Обрані","Favourites"
"S_LibConstNotStarted","Не початі","Not Started"
"S_LibConstReading","В процесі читання","Reading"
"S_LineCount.Text","Кількість рядків: ","Line count : "
"S_matchesFound","Збігів знайдено: {0}","{0} matches found"
"S_MoreFonts","Отримати більше шрифтів!!","Get more fonts!!"
"S_No","Ні","No"
"S_None","(Нічого)","(None)"
"S_NotSupported","Не підтримується","Not supported"
"S_NotSupported_Msg","Завантаження файлів, відмінних від .epub, не підтримується","Download of files other than .epub is not supported"
"S_OnlineBook_CompleteAdded","Завершено | Додано до бібліотеки","Completed | Added to library"
"S_OnlineBook_CompleteExists","Завершено | Вже є","Completed | Already exists"
"S_OnlineBook_CompleteFailAdd","Завершено | Не вдалося додати до бібліотеки","Completed | Failed to add to library"
"S_PercentageRead.Text","Відсоток прочитаного: ","Percentage read : "
"S_Pin","Закріпити","Pin"
"S_Prem_Msg1","Вибачаємося! Схоже, ви вже володієте цим. Ми оновили наші записи, щоб відобразити це правильно.","Apologies! Looks like you already own this, we have updated our records to reflect this correctly."
"S_Prem_Msg2","Вітаємо! Купівля пройшла успішно.","Congrats! The purchase was successful."
"S_Prem_Msg3","Вибачте! Схоже, трансакцію скасовано. Будь ласка, спробуйте ще раз.","Sorry! Looks like the transaction was canceled, plz try again."
"S_Prem_Msg4","Вибачте! Схоже, покупка не вдалася через проблему з мережею. Будь ласка, спробуйте ще раз.","Sorry! Looks like the purchase failed due to network issues, plz try again."
"S_Prem_Msg5","Вибачте! Схоже, покупка не вдалася через помилку сервера. Будь ласка, спробуйте ще раз.","Sorry! Looks like the purchase failed due to some server error, plz try again."
"S_Prem_Msg6","Вибачте! Під час покупки щось пішло не так. Будь ласка, спробуйте ще раз.","Sorry! Something went wrong during the purchase, plz try again."
"S_PremAnnual","Преміум [Щорічно]","Premium [Annual]"
"S_PremFree","Безкоштовно","Free"
"S_PremiumBooksCount","Безкоштовна версія програми підтримує лише до {0} книг у бібліотеці одночасно.
Щоб додати більше, оновіть програму до Aquile Reader Premium.","Free version of the app supports only {0} books in the library at a time.
To add more, please upgrade to Aquile Reader Premium."
"S_PremiumCollection","Безкоштовна версія програми підтримує лише до {0} елементів колекцій одночасно.
Щоб створити більше, оновіть програму до Aquile Reader Premium.","Free version of the app supports total of {0} collections items.
To create more, please upgrade to Aquile Reader Premium."
"S_PremiumColorThemes","Безкоштовна версія програми підтримує лише {0} користувацьку тему.
Щоб створити більше, оновіть програму до Aquile Reader Premium.","Free version of the app supports only {0} custom themes.
To create more, please upgrade to Aquile Reader Premium."
"S_PremiumFonts","Оновіться до Преміуму і отримайте доступ до всіх шрифтів, встановлених в системі.","Upgrade to Premium and get access to all fonts installed on the system."
"S_PremiumPin","Безкоштовна версія програми підтримує лише до {0} книг, закріплених в меню ""Пуск"" одночасно.
Щоб додати більше, оновіть програму до Aquile Reader Premium.","Free version of the app supports only {0} books pinned to start screen at a time.
To add more, please upgrade to Aquile Reader Premium."
